library,cdn name,npm name,file,비고...
AMP,,,v0.js,
AmplifyJS,amplifyjs,amplifyjs,amplify.core.js,
AmplifyJS,amplifyjs,amplifyjs,amplify.store.js,
AmplifyJS,amplifyjs,amplifyjs,amplify.min.js,
Angular,angular,@angular/core,core.umd.min.js,
AngularJS,angular.js,angular,angular.min.js,
Backbone,backbone.js,backbone,backbone.min.js,
Bootstrap,bootstrap,bootstrap,bootstrap.min.js,
CamanJS,camanjs,caman,caman.min.js,
Can,can.js,can,ecosystem.min.js,
Can,can.js,can,everything.min.js,
Can,can.js,can,core.min.js,
Closure Library,google-closure-library,google-closure-library,base.min.js,
core-js,core-js,core-js-bundle,minified.js,
CreateJS,,createjs,createjs.min.js,https://code.createjs.com/1.0.0/createjs.min.js 여기 있는데 cdn엔 없음..
D3,d3,d3,d3.min.js,
DC.js,dc,dc,dc.min.js,
Dojo,dojo,dojo,dojo.js,
Ext JS,extjs,,ext-all.js,npm에 @types/extjs 는 있는데 extjs는 없음..
Fabric.js,fabric.js,fabric,fabric.min.js,
FastClick,fastclick,fastclick,fastclick.min.js,
FlexSlider,flexslider,flexslider,jquery.flexslider.min.js,
FlotCharts,flot,flot,jquery.canvaswrapper.min.js,
FuseJS,fuse.js,fuse.js,fuse.basic.min.js,
FuseJS,fuse.js,fuse.js,fuse.min.js,
gRaphaël,graphael,graphael,g.raphael-min.js,
GreenSock JS,gsap,gsap,gsap.min.js,
Hammer.js,hammer.js,hammerjs,hammer.min.js,
Handlebars,handlebars.js,handlebars,handlebars.min.js,
Handlebars,handlebars.js,handlebars,handlebars.runtime.min.js,
Handsontable,handsontable,handsontable,handsontable.full.min.js,
Handsontable,handsontable,handsontable,handsontable.min.js,
Head JS,headjs,headjs,head.css3.min.js,
Head JS,headjs,headjs,head.min.js,
Head JS,headjs,headjs,head.core.min.js,
Head JS,headjs,headjs,head.load.min.js,
Highcharts,highcharts,highcharts,highcharts.min.js,
IfVisible.js,ifvisible,ifvisible.js,ifvisible.min.js,
Ink,ink,,ink.min.js,이것도 프레임워크인듯..
Ink,ink,,ink-all.min.js,
Ionic,ionic,@ionic/cli,ionic.js,
Isotope,jquery.isotope,isotope-layout,isotope.pkgd.min.js,
jQuery,jquery,jquery,jquery.slim.min.js,
jQuery,jquery,jquery,jquery.min.js,
jQuery Mobile,jquery-mobile,jquery-mobile,jquery.mobile.min.js,
jQuery Tools,jquery-tools,,jquery.tools.min.js,
jQuery UI,jqueryui,jquery-ui,jquery-ui.min.js,
Kendo UI,kendo-ui-core,kendo-ui-core,kendo.ui.core.min.js,
Knockout,knockout,knockout,knockout-latest.min.js,
LABjs,labjs,labjs,LAB.min.js,
Leaflet,leaflet,leaflet,leaflet.min.js,
Lo-Dash,lodash.js,lodash,lodash.core.min.js,
Lo-Dash,lodash.js,lodash,lodash.min.js,
Mapbox,mapbox-gl,mapbox-gl,mapbox-gl.js,
Marionette,marionette,backbone.marionette,marionette.min.js,
Material Design Lite,material-design-lite,material-design-lite,material.min.js,
Matter.js,matter-js,matter-js,matter.min.js,
Modernizr,modernizr,modernizr,modernizr.min.js,
Moment Timezone,moment-timezone,moment-timezone,moment-timezone.min.js,
Moment.js,moment.js,moment,moment.min.js,
MooTools,mootools,mootools,mootools-core.min.js,
MooTools,mootools,mootools,mootools-core-compat.min.js,
Move,move.js,move-js,move.min.js,
Numeral.js,numeral.js,Numeral,numeral.min.js,
Paper.js,paper.js,paper,paper-full.min.js,
Paper.js,paper.js,paper,paper-core.min.js,
Pixi.js,pixi.js,pixi.js,pixi.min.js,
Preact,preact,preact,preact.min.js,
Processing.js,processing.js,,processing.min.js,
Prototype,prototype,,prototype.min.js,
Pusher,pusher,pusher,pusher.min.js,
Qooxdoo,qooxdoo,@qooxdoo/framework,q.min.js,
Raphaël,raphael,raphael,raphael.min.js,
RequireJS,require.js,requirejs,require.min.js,
Riot,riot,riot-cli,riot.min.js,
Sammy,sammy.js,sammy,sammy.min.js,
Scriptaculous,scriptaculous,,scriptaculous.min.js,
Scriptaculous,scriptaculous,,builder.min.js,
ScrollMagic,ScrollMagic,scrollmagic,ScrollMagic.min.js,
Sea.js,seajs,seajs,sea.js,
Socket.IO,socket.io,socket.io-client,socket.io.min.js,
SPF,spf,spf,spf.js,
Spine,spinejs,spine,spine.min.js,
SWFObject,swfobject,swfobject,swfobject.min.js,
three.js,three.js,three.js,three.min.js,
Tween.js,tween.js,tween.js,tween.umd.min.js,
Two,two.js,two.js,two.min.js,
Underscore,underscore.js,underscore,underscore.min.js,
Velocity.js,velocity,velocity-react,velocity.min.js,
Visibility.js,visibility.js,visibilityjs,visibility.min.js,
Vue,vue,vue,vue.global.min.js,
Vue,vue,vue,vue.runtime.global.min.js,
WebFont Loader,webfont,webfont,webfont.js,
yepnope,yepnope,yepnope,yepnope.min.js,
YUI 3,yui,yui,yui-min.js,
Zepto.js,zepto,zepto,zepto.min.js,
core-js,core-js,core-js-bundle,core.min.js,
Modernizr,modernizr,modernizr,modernizr.min.js,
superagent,superagent,superagent,superagent.min.js,
redux,redux,redux,redux.min.js,
styled-components,styled-components,styled-components,styled-components.min.js,
pdf.js,pdf.js,pdfjs,pdf.min.mjs,
dayjs,dayjs,dayjs,dayjs.min.js,
react,react,react,react.min.js,
react,react,react,cjs/react.production.min.js,
react-dom,react-dom,react-dom,cjs/react-dom.production.min.js,
react-dom,react-dom,react-dom,react-dom.js
