target,ldc,ptdetector,jsca
https://akc.org,"jQuery,jQuery (Fast path),Backbone,Underscore,WordPress,core-js","jQuery,Underscore,core-js,Backbone,jQuery UI","jquery,lodash.js"
https://aliexpress.com,"React,React (Fast path),Lo-Dash,boomerang.js,core-js","Lo-Dash,core-js,Underscore,React","lodash.js"
https://amazon.com,"","core-js,Ionic",""
https://amazon.in,"React,core-js","core-js,Ionic",""
https://amctheatres.com,"","",""
https://apartments.com,"","",""
https://as.com,"core-js","core-js,Can",""
https://apple.com,"Preact","",""
https://att.com,"","","lodash.js"
https://bankofamerica.com,"Lo-Dash","Lo-Dash,Underscore","lodash.js"
https://bbc.com,"Next.js,Next.js (Fast path),RequireJS,core-js","RequireJS,core-js",""
https://bedbathandbeyond.com,"","",""
https://bestbuy.com,"jQuery (Fast path),React,React (Fast path),Backbone,Lo-Dash,Zepto.js,core-js","Zepto.js,core-js,Underscore,React,Backbone,Lo-Dash","jquery,lodash.js"
https://bing.com,"Preact,Preact (Fast path),core-js","Preact,core-js,RequireJS,Ionic",""
https://booking.com,"jQuery,jQuery (Fast path),Lo-Dash","Lo-Dash,jQuery,Underscore,Closure Library,RequireJS","jquery,lodash.js"
https://ca.gov,"","Bootstrap",""
https://cambridge.org,"","",""
https://canva.com,"","","lodash.js"
https://capitalone.com,"Angular,Hammer.js","Hammer.js,Underscore",""
